Ref,Val,Package,PosX,PosY,Rot,Side
"@HOLE0","","",4.356100,4.343400,0.000000,top
"@HOLE1","","",94.526100,4.343400,0.000000,top
"@HOLE2","","",94.526100,94.513400,0.000000,top
"@HOLE3","","",4.356100,94.513400,0.000000,top
"C1","10uF","C_1210_3225Metric",70.791226,21.220163,180.000000,top
"C2","100nF","C_0805_2012Metric",45.911482,27.436395,-90.000000,top
"C3","1uF","C_0805_2012Metric",63.950675,26.275190,180.000000,top
"C4","100nF","C_0805_2012Metric",63.900348,28.626613,180.000000,top
"C5","47uF","PANASONIC_D_XL",92.710000,65.659000,-90.000000,top
"C6","100nF","C_0805_2012Metric",49.812710,61.805616,0.000000,top
"C7","1uF","C_0805_2012Metric",45.720000,40.132000,90.000000,top
"C8","100nF","C_0805_2012Metric",34.193058,60.705700,0.000000,top
"C9","1uF","C_0805_2012Metric",14.340000,27.432000,90.000000,top
"C10","1uF","C_0805_2012Metric",90.141409,72.166056,-90.000000,top
"C11","100nF","C_0805_2012Metric",88.873777,77.372605,0.000000,top
"C12","1uF","C_0805_2012Metric",12.584603,36.533698,0.000000,top
"C13","1uF","C_0805_2012Metric",25.180645,41.231719,-90.000000,top
"C14","1uF","C_0805_2012Metric",39.614063,56.258661,-90.000000,top
"C15","1uF","C_0805_2012Metric",51.260632,56.621815,-90.000000,top
"C16","2.2n","C_0805_2012Metric",4.816688,40.053835,0.000000,top
"C17","100nF","C_0805_2012Metric",15.036085,74.705386,-90.000000,top
"C18","100nF","C_0805_2012Metric",40.791533,75.115012,-90.000000,top
"C19","2.2n","C_0805_2012Metric",8.281754,40.095885,0.000000,top
"C20","1uF","C_0805_2012Metric",43.720709,21.343303,-90.000000,top
"C21","1uF","C_0805_2012Metric",30.688615,78.427557,180.000000,top
"C22","2.2n","C_0805_2012Metric",12.700000,40.132000,0.000000,top
"C23","100nF","C_0805_2012Metric",78.742595,77.176848,0.000000,top
"C24","2.2n","C_0805_2012Metric",17.780000,40.132000,0.000000,top
"C25","100nF","C_0805_2012Metric",18.351742,60.356710,0.000000,top
"C26","100nF","C_0805_2012Metric",39.246264,59.957952,0.000000,top
"C27","100nF","C_0805_2012Metric",65.193475,21.171129,-90.000000,top
"C28","1uF","C_0805_2012Metric",49.619078,22.574584,0.000000,top
"C29","100nF","C_0805_2012Metric",59.118464,27.164384,-90.000000,top
"D1","DZ2S033X0L","D_SOD-523",5.080000,42.672000,0.000000,top
"D2","DZ2S033X0L","D_SOD-523",8.320000,42.672000,0.000000,top
"D3","DZ2S033X0L","D_SOD-523",12.700000,42.672000,0.000000,top
"D4","DZ2S033X0L","D_SOD-523",17.780000,42.672000,0.000000,top
"FUSE1","4A","Fuseholder_Littelfuse_Nano2_154x",84.366100,4.089400,0.000000,top
"J1","5V_EXT","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",51.170982,84.808294,0.000000,top
"J2","12V_EXT","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",62.831586,57.849910,0.000000,top
"J3","I2C_1","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",24.082000,19.770000,180.000000,top
"J4","SPI","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",31.938719,27.566987,-90.000000,top
"J5","Serial8","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",10.134929,58.411040,180.000000,top
"J6","I2C_2","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",24.082000,26.628000,180.000000,top
"J7","PWM_L","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",61.176574,69.602215,180.000000,top
"J8","PWM_R","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",58.098828,75.546115,180.000000,top
"J9","Right_motor","PinHeader_1x06_P2.54mm_Vertical",26.319151,76.759434,0.000000,top
"J10","IMU","IDC-Header_2x03_P2.54mm_Vertical",5.606376,25.216996,0.000000,top
"J11","Line_LEDS","IDC-Header_2x03_P2.54mm_Vertical",78.426357,65.434674,90.000000,top
"J12","USB_A","USB_A_ASSMANN_A-TOP_VERTICAL",66.612946,66.851547,90.000000,top
"J13","Left motor","PinHeader_1x06_P2.54mm_Vertical",36.061037,76.706814,0.000000,top
"J14","Line_data","IDC-Header_2x05_P2.54mm_Vertical",76.229069,54.427323,90.000000,top
"J15","Conn_01x03","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",56.642000,13.208000,180.000000,top
"J16","Conn_01x03","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",66.040000,13.208000,180.000000,top
"JP1","Ground","PinHeader_1x02_P2.54mm_Vertical",93.980000,78.232000,0.000000,top
"L1","68uH","L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC",52.156738,65.006812,180.000000,top
"L2","68uH","L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC",24.746791,54.999269,180.000000,top
"LED1","LTST-C150KRKT","LED-1206",58.458100,4.597400,-90.000000,top
"LED2","LTST-C150TRKT","LED-1206",52.616100,4.597400,-90.000000,top
"POWER1","XT60","XT60",88.544400,24.892000,-90.000000,top
"Q1","BSS138","SOT-23",70.331643,25.147468,-90.000000,top
"Q2","IPD80P03P4L07","D-PAK_TO252AA",69.634100,5.867400,90.000000,top
"Q3","PMV28XPEAR","SOT-23",47.850258,19.540581,180.000000,top
"Q4","BSS138","SOT-23",55.994340,19.630930,-90.000000,top
"R1","47k","R_0805_2012Metric",70.184079,28.617389,0.000000,top
"R2","47k","R_0805_2012Metric",14.136318,16.681722,-90.000000,top
"R3","220k","R_0805_2012Metric",77.000100,5.867400,90.000000,top
"R4","47k","R_0805_2012Metric",49.383458,25.695839,0.000000,top
"R5","4.7k","R_0805_2012Metric",43.890933,27.473813,90.000000,top
"R6","47k","R_0805_2012Metric",49.393542,27.913763,0.000000,top
"R7","150R","R_0805_2012Metric",61.268166,7.885951,90.000000,top
"R8","1k","R_0805_2012Metric",55.461800,7.934689,90.000000,top
"R9","1k","R_0805_2012Metric",10.238493,66.355994,180.000000,top
"R10","1k","R_0805_2012Metric",10.405908,72.131819,180.000000,top
"R11","1k","R_0805_2012Metric",10.405908,78.158767,180.000000,top
"R12","1k","R_0805_2012Metric",10.447762,84.018300,180.000000,top
"R13","1k","R_0805_2012Metric",42.538840,37.592000,90.000000,top
"R14","1R","R_0805_2012Metric",88.978815,74.956736,180.000000,top
"R15","1k","R_0805_2012Metric",40.346323,37.592000,90.000000,top
"R16","1k","R_0805_2012Metric",35.961291,37.592000,90.000000,top
"R17","15k","R_0805_2012Metric",43.948873,53.297735,0.000000,top
"R18","15k","R_0805_2012Metric",31.320884,52.647156,0.000000,top
"R19","1k","R_0805_2012Metric",38.153807,37.592000,90.000000,top
"R20","1k","R_0805_2012Metric",5.080000,52.832000,90.000000,top
"R21","47k","R_0805_2012Metric",22.966801,37.648579,0.000000,top
"R22","47k","R_0805_2012Metric",3.802442,36.685347,0.000000,top
"R23","1k","R_0805_2012Metric",7.620000,52.832000,90.000000,top
"R24","56R","R_1206_3216Metric",18.703434,73.234160,0.000000,top
"R25","56R","R_1206_3216Metric",44.239654,73.668483,0.000000,top
"R26","56R","R_1206_3216Metric",18.767276,76.809276,0.000000,top
"R27","56R","R_1206_3216Metric",44.265437,76.553599,0.000000,top
"R28","330R","R_0805_2012Metric",74.548378,77.213319,180.000000,top
"R29","1k","R_0805_2012Metric",11.060000,52.832000,90.000000,top
"R30","7.5k","R_0805_2012Metric",42.149848,56.288325,90.000000,top
"R31","15k","R_0805_2012Metric",33.019999,37.602520,-90.000000,top
"R32","7.5k","R_0805_2012Metric",22.566753,60.102779,180.000000,top
"R33","15k","R_0805_2012Metric",30.393962,37.592000,-90.000000,top
"R34","1k","R_0805_2012Metric",13.678205,52.832000,90.000000,top
"R35","15k","R_0805_2012Metric",62.998140,21.170616,90.000000,top
"R36","7.5k","R_0805_2012Metric",60.790688,21.184676,-90.000000,top
"R37","7.5k","R_0805_2012Metric",54.211453,27.164384,-90.000000,top
"R38","15k","R_0805_2012Metric",56.475146,27.164384,90.000000,top
"R39","47k","R_0805_2012Metric",55.946080,22.935775,0.000000,top
"R40","47k","R_0805_2012Metric",52.679857,19.475620,90.000000,top
"SERVO1","M03POLAR","MOLEX-1X3",2.090083,68.072000,0.000000,top
"SERVO2","M03POLAR","MOLEX-1X3",2.090083,74.029193,0.000000,top
"SERVO3","M03POLAR","MOLEX-1X3",2.090083,79.986384,0.000000,top
"SERVO4","M03POLAR","MOLEX-1X3",2.090083,85.943575,0.000000,top
"SW1","PHAP5-50VA2Q2S2N","SW_APEM_12x12",25.610439,9.963294,180.000000,top
"SW2","PHAP5-50VA2Q2S2N","SW_APEM_12x12",42.045946,9.963294,180.000000,top
"SWITCH1","RS-PRO-SPDT-1MS1T2B3M7QES","RS-PRO-1MS1T2B3M7QES",78.270100,14.503400,90.000000,top
"U$1","DTUMEDIUM-9MM","DTU-MEDIUM-9MM",12.700000,8.587000,0.000000,top
"U1","Teensy4.1","Teensy41",31.750000,40.132000,180.000000,top
"U2","MINI560","MINI560",81.026000,40.132000,180.000000,top
"U3","MINI560","MINI560",30.480000,88.392000,180.000000,top
"U4","MINI560","MINI560",73.660000,88.392000,180.000000,top
"U5","MAX22201ATC+","SON50P300X300X80-13N",46.728808,56.788266,90.000000,top
"U6","MAX22201ATC+","SON50P300X300X80-13N",33.913800,56.788634,90.000000,top
"U7","ACS714ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",19.843588,66.219519,-90.000000,top
"U8","ACS714ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",41.693750,65.848126,-90.000000,top
"U9","SSD1306_128x32","PinSocket_1x04_P2.54mm_Vertical",40.640000,27.432000,0.000000,top
